,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
TMEM178B,5.46927254,5.316210629,5.417979309,5.699956133,5.474651847,5.643951484,5.643726378,5.233395659,5.221727153,5.548528931,5.705378623,5.671799441,5.705206994,5.701831812,6.020990017,6.313375811,5.741712486,5.889171788
TMEM139,5.556115347,5.606926238,5.224619133,5.492785478,5.469462257,5.670710405,5.646741757,5.602066401,5.610110898,5.731157436,5.62275495,5.643708069,6.16084644,6.256718787,6.213212154,6.445490491,6.197991484,6.538929535
TCAF1,8.425573126,8.063684083,8.857302168,8.183909273,9.081955567,8.166373098,7.992055336,8.41867909,8.817696067,8.264892049,8.449910164,8.910544744,7.240827492,7.600494186,7.659099473,8.155238639,8.225567939,7.325859092
ARHGEF35,7.225632039,7.276306526,7.44370292,7.331794376,7.482631842,7.476401971,7.241473459,7.376298085,7.31972665,7.19050711,7.362824602,7.267846101,6.598025409,6.516190851,6.979144385,7.074515666,6.649728455,6.802319694
AC005229.4,6.153285855,6.284371602,5.92445159,6.267637775,6.031613063,6.161203612,6.09529351,6.17746783,6.081705907,5.965335705,5.996466313,6.167338709,5.72188291,5.775029689,6.039027174,5.861611958,5.754184832,5.94899035
ZNF777,7.613094732,7.777370499,7.517057327,7.738034712,7.262737486,7.705481146,7.717319232,7.591810831,7.241414264,7.756623344,7.754194499,7.432353606,8.220290546,7.869246379,7.899675997,8.19409867,7.78714131,8.065921226
ZNF767P,7.148597337,7.096805672,7.115179947,7.118377598,7.225768812,7.058527814,6.980838674,7.11981075,7.033574212,7.100860512,7.050454621,6.824822989,6.753343876,6.825446634,7.005608542,6.709041739,6.826236338,6.858931978
ATP6V0E2-AS1,4.802154465,5.067974574,5.117436483,4.906457299,4.99082408,5.082560664,4.967362122,4.854070539,4.461992364,5.104499182,5.001782906,4.764838372,5.385377647,5.520288079,5.586559002,5.377270455,5.412027886,5.499961529
CDK5,8.635283476,8.570699814,8.189124483,8.463628652,8.150776922,8.823913808,8.420049565,8.519751349,8.234009092,8.561811255,8.501983847,8.306435896,7.600772074,7.572476821,7.5805147,7.697279874,7.481596473,7.819333577
ABCF2-H2BE1,9.609845585,9.73987041,9.38592034,9.699225797,9.275706746,9.73273623,9.532379901,9.547366594,9.379203592,9.488479129,9.428838367,9.222043335,9.440660341,9.596230455,9.52036599,8.948162281,8.978676723,9.262782371
ABCF2,9.609845585,9.73987041,9.38592034,9.699225797,9.275706746,9.73273623,9.532379901,9.547366594,9.379203592,9.488479129,9.428838367,9.222043335,9.440660341,9.596230455,9.52036599,8.948162281,8.978676723,9.262782371
